id,nome,email_responsavel,faltas
1,Alberto Roberto,aa01@gmail.com,0
2,Aline Monteiro,bb02@gmail.com,0
3,Arthur Morgan,cc03@gmail.com,2
4,Beatriz Silva,dd04@gmail.com,0
5,Bianca Souza,ee05@gmail.com,0
6,Bruno Lagos,ff06@gmail.com,1
7,Carlos Antunes,gg07@gmail.com,0
8,Daniel Montovani,hh08@gmail.com,0
9,Elisa Montes,ii09@gmail.com,0
10,Fernando Rocha,jj10@gmail.com,0
11,Gabriela Barros,kk11@gmail.com,2
12,Hugo Fernandes,ll12@gmail.com,0
13,Julia Pereira,mm13@gmail.com,0
14,Kelvin Matos,nn14@gmail.com,0
15,Lara Croft,oo15@gmail.com,0
16,Marcos Campos,pp16@gmail.com,1
17,Omar Pontes,qq17@gmail.com,0
18,Paula Torres,rr18@gmail.com,0
19,Roberta Boechat,ss19@gmail.com,0
20,Samara Ring,tt20@gmail.com,3
21,Tadeu Soares,uu21@gmail.com,0
22,Vanderlei Custodio,vv22@gmail.com,0
